Active or Inactive Business,Tax Type,Retail Permit Number,Consolidated Number,Name of Business,Address of the Business,State,County Name,Registration County Number,Business Location County Number,Department City Code,City Location of Business,Business Zip Code,NAICS code,Description of type of NAICS code,Date Permit was Issued,Date Permit was Cancelled
Active,Retail Sales,191009834,,"JAI GURU DATTA INC, HOTEL POMMIER",1215 N JEFFERSON WAY,IA,Warren,91.0,91,1.0,INDIANOLA,50125-1455,721110.0,Hotels (except Casino Hotels) and Motels,2005-10-24T00:00:00.000,
Active,Retail Sales,307105525,307105525,QUAD CITY FLOORING LLC,2 PARKWOOD DR,IA,Scott,82.0,82,1.0,DAVENPORT,52803-2324,444180.0,Other Building Material Dealers,2025-06-01T00:00:00.000,
Inactive,Remote Sales,200172177,200172177,BARKBED COVERS,162 EAST AVE FL 3RD,CT,,0.0,0,,NORWALK,06851-5715,441227.0,"Motorcycle, ATV, and All Other Motor Vehicle Dealers",2016-07-08T00:00:00.000,2016-07-08T00:00:00.000
Inactive,Retail Sales,642502329,,"KONRADI, CAROL J; KONRADI,CAROL J",307 10TH AVE BOX 14,IA,Hardin,42.0,42,2.0,ACKLEY,50601-0000,,,1998-02-12T00:00:00.000,2021-11-11T00:00:00.000
Inactive,Consumer Use,917000766,917000766,WOODHARBOR MOLDING & MILLWORKS INC,3277 9TH ST SW,IA,Cerro Gordo,17.0,17,1.0,MASON CITY,50401-7318,32121.0,"Veneer, Plywood, and Engineered Wood Product Manufacturing",1993-11-01T00:00:00.000,2022-06-30T00:00:00.000
Active,Retail Sales,303706226,303706226,"JONES, SARAH A",11001 WILMER DR,KS,,0.0,0,,MULVANE,67110-9593,,,2024-07-25T00:00:00.000,
Active,Retail Sales,306409122,306409022,"INNOVATIVE VENDING, LLC; JUNIPER LANES",2105 CIRCLE DR W,IA,Dickinson,30.0,30,2.0,SPIRIT LAKE,51360-2118,445132.0,Vending Machine Operators,2025-04-07T00:00:00.000,
Active,Retail Sales,150013162,,"ROSS, AARON N; SKUNK RIVER SANITATION LLC",18 S IOWA ST,IA,Jasper,50.0,50,2.0,COLFAX,50054-1054,5617.0,Services to Buildings and Dwellings,2016-01-01T00:00:00.000,
Active,Consumer Use,303304819,303304819,DACO CONSTRUCTION COMPANY INC,311 W NORFOLK AVE STE 200,NE,,0.0,0,,NORFOLK,68701-5212,238210.0,Electrical Contractors and Other Wiring Installation Contractors,2021-09-01T00:00:00.000,
Inactive,Remote Sales,200178644,200178644,PURE LLC,3453 W 3800 S,UT,,0.0,0,,WEST HAVEN,84401-5626,441227.0,"Motorcycle, ATV, and All Other Motor Vehicle Dealers",2018-01-23T00:00:00.000,2018-01-23T00:00:00.000
Active,Retail Sales,131027448,,DISCOUNT SHOP TOWELS LLC,585 HUFF ST,IA,Dubuque,31.0,31,1.0,DUBUQUE,52003-7436,4543.0,Direct Selling Establishments,2019-12-01T00:00:00.000,
Active,Retail Sales,308007523,308007523,PAMPERED POOCHES LLC,706 W COLUMBUS ST,IA,Ringgold,80.0,80,1.0,MOUNT AYR,50854-9401,812910.0,Pet Care (except Veterinary) Services,2025-09-01T00:00:00.000,
Inactive,Retail Sales,107030578,,"MILLER, TERESA L; MERRY MAIDS #670",343 FLETCHER AVE,IA,Black Hawk,7.0,7,1.0,WATERLOO,50701-2939,5617.0,Services to Buildings and Dwellings,1992-10-01T00:00:00.000,2023-04-28T00:00:00.000
Active,Remote Sales,200169880,200169880,MARSH FUNITURE COMPANY,1001 S CENTENNIAL ST,NC,,0.0,0,,HIGH POINT,27260-7850,,,2015-01-01T00:00:00.000,
Active,Retail Sales,303808624,303808624,"WHALEY, LAUREN",237 S 2ND ST,IA,Cedar,16.0,16,4.0,WEST BRANCH,52358-9620,812112.0,Beauty Salons,2023-10-01T00:00:00.000,
Active,Retail Sales,302409924,302409924,"LUMIQ, INC",325 FRONT ST W UNIT 4,ON,,0.0,0,,TORONTO,M5V2Y-1,454110.0,Electronic Shopping and Mail-Order Houses,2023-01-01T00:00:00.000,
Active,Retail Sales,307609928,307609928,"SPIRIT SPRINGS ARMORY, LLC",619 VAN BUREN DR,IA,Allamakee,3.0,3,1.0,WAUKON,52172-7786,423990.0,Other Miscellaneous Durable Goods Merchant Wholesalers,2025-07-31T00:00:00.000,
Active,Retail Sales,303605221,303605121,"JROD TOOL SALES LLC, HOME",8500 SE 26TH AVE,IA,Polk,77.0,77,14.0,RUNNELLS,50237-2150,,,2024-07-29T00:00:00.000,
Active,Retail Sales,S00445542,S00445542,LIVEYOURLIFECONNECTIONS LLC,11 MUNICIPAL DR,IN,,0.0,0,,FISHERS,46038-1633,,,2025-01-24T00:00:00.000,
Active,Retail Sales,175009109,,"LANGEL, BRIANA; COLLECTIVE & CO LLC",128 CENTRAL AVE SE,IA,Plymouth,75.0,75,1.0,LEMARS,51031-3619,4422.0,Home Furnishings Stores,2021-07-01T00:00:00.000,
Active,Retail Sales,308101118,308101118,"MARIE CUSTOM JEWELRY, MARIE! CUSTOM JEWELRY",327 E MINDY DR,IA,Butler,12.0,12,4.0,SHELL ROCK,50670-1020,339910.0,Jewelry and Silverware Manufacturing,2022-03-01T00:00:00.000,
Active,Retail Sales,307709619,307709519,"WTK AND CO, WTK AND CO., LLC, THE HIDDEN TOWER EVENT CENTER",2416 340TH ST,IA,Lee,56.0,56,2.0,KEOKUK,52632-9539,812990.0,All Other Personal Services,2023-07-15T00:00:00.000,
Active,Retail Sales,301300520,301300420,"J'S PLACE; MANATT, JAMIE",115 W FRONT ST,IA,Poweshiek,79.0,79,2.0,BROOKLYN,52211-9496,722410.0,Drinking Places (Alcoholic Beverages),2024-01-01T00:00:00.000,
Inactive,Consumer Use,303208718,303208718,"BRD GUN WORKS LLC; CALVERT, JARROD",401 E 14TH PL,IA,Warren,91.0,91,1.0,INDIANOLA,50125-3278,5616.0,Investigation and Security Services,2021-08-01T00:00:00.000,2022-06-30T00:00:00.000
Inactive,Retail Sales,691516192,,"WIGG, BRETT L; WIGG,BRETT L",413 W PINE AVE,IA,Warren,91.0,91,3.0,NORWALK,50211-2218,,,2010-01-01T00:00:00.000,2021-11-11T00:00:00.000
Active,Retail Sales,306605816,306605816,"MILJAVAC, ANDREA T",1507 GOODING AVE,MO,,0.0,0,,SAINT JOSEPH,64504-1886,,,2022-10-15T00:00:00.000,
Inactive,Retail Sales,302204528,302204528,"INSPARATIONAL TREATMENTS BY CHRISTY; NIELSEN, CHRISTY",822 CENTRAL AVE STE 400,IA,Webster,94.0,94,1.0,FORT DODGE,50501-3943,812199.0,Other Personal Care Services,2022-04-01T00:00:00.000,2025-01-29T00:00:00.000
Active,Remote Sales,200169797,200169797,CLEAR RATE COMMUNICATIONS INC,2600 W BIG BEAVER RD STE 450,MI,,0.0,0,,TROY,48084-3336,,,2015-09-01T00:00:00.000,
Active,Retail Sales,152027214,,"WRIGHT, JORDAN; CRYPTICICADA LLC",1477 VALLEY VIEW DR,IA,Johnson,52.0,52,2.0,CORALVILLE,52241-1029,458310.0,Jewelry Retailers,2021-07-28T00:00:00.000,
Active,Retail Sales,182044171,,"ALLEN ORGANS TWIN CITIES INC, ALLEN ORGANS OF IOWA",321 8TH ST STE C,IA,Scott,82.0,82,2.0,BETTENDORF,52722-4885,4539.0,Other Miscellaneous Store Retailers,2015-01-15T00:00:00.000,
Active,Retail Sales,178020532,7581,"CRACKER BARREL OLD COUNTRY STORE INC, CRACKER BARREL OLD COUNTRY STORE, INC., CRACKER BARREL OLD COUNTRY STORE IN",530 30TH AVE,IA,Pottawattamie,0.0,78,1.0,COUNCIL BLUFFS,51501-7686,4539.0,Other Miscellaneous Store Retailers,1996-06-03T00:00:00.000,
Active,Retail Sales,309302116,309302116,"FELDERMANN, MORGAN J",605 5TH AVE,IA,Linn,57.0,57,10.0,SPRINGVILLE,52336-9771,561720.0,Janitorial Services,2023-06-08T00:00:00.000,
Active,Retail Sales,304206422,304206322,"CHILL & POUR LLC, HQ",7120 PLEASANT RIDGE DR SW,IA,Linn,57.0,57,1.0,CEDAR RAPIDS,52404-8030,722410.0,Drinking Places (Alcoholic Beverages),2024-09-16T00:00:00.000,
Inactive,Retail Sales,126003311,,"YODER, VERNON E; FARMERS HARNESS SHOP",16721 KELP AVE,IA,Davis,26.0,26,1.0,BLOOMFIELD,52537-7664,459110.0,Sporting Goods Retailers,2003-02-01T00:00:00.000,2021-03-29T00:00:00.000
Inactive,Retail Sales,140007662,,ICS GREAT PLAINS LLC,503 DES MOINES ST,IA,Hamilton,40.0,40,1.0,WEBSTER CITY,50595-1408,4539.0,Other Miscellaneous Store Retailers,2015-11-12T00:00:00.000,2024-12-31T00:00:00.000
Inactive,Consumer Use,907002233,907002233,EVEN CONSTRUCTION INC,1635 KERRY LN,IA,Black Hawk,7.0,7,12.0,JESUP,50648-1204,237210.0,Land Subdivision,2011-08-08T00:00:00.000,2022-06-30T00:00:00.000
Active,Retail Sales,197037639,,WALKER BROTHERS ROOFING LLC,3281 FAYETTE AVE,IA,Woodbury,97.0,97,7.0,SLOAN,51055-8040,1111.0,Oilseed and Grain Farming,2016-07-01T00:00:00.000,
Active,Retail Sales,192009208,,"HARBISON, KYLEN; BEAUTY WITH GRACE",108 N MARION AVE,IA,Washington,92.0,92,1.0,WASHINGTON,52353-1701,8121.0,Personal Care Services,2020-02-01T00:00:00.000,
Active,Retail Sales,182046397,,"SOCIAL GAMES LLC, LIVE ACTION GAMES",320 W KIMBERLY RD STE 234,IA,Scott,82.0,82,1.0,DAVENPORT,52806-5927,7139.0,Other Amusement and Recreation Industries,2019-09-01T00:00:00.000,
Inactive,Retail Sales,157053972,,JOHNNY BOY INC,1317 1ST AVE SE,IA,Linn,57.0,57,1.0,CEDAR RAPIDS,52402-5009,811192.0,Car Washes,2011-01-03T00:00:00.000,2023-10-20T00:00:00.000
Active,Retail Sales,306906220,306906120,"GLENDENNING, KYLA G; DUBUQUE POTTERY STUDIO LLC",470 CENTRAL AVE,IA,Dubuque,0.0,31,1.0,DUBUQUE,52001-7024,611610.0,Fine Arts Schools,2025-05-19T00:00:00.000,
Active,Retail Sales,807022,S00049160,GAMELOCK CORPORATION,1835 NE MIAMI GARDENS DR,FL,,0.0,0,,MIAMI,33179-5035,4539.0,Other Miscellaneous Store Retailers,2013-12-01T00:00:00.000,
Active,Retail Sales,125012696,222,"THE SHERWIN-WILLIAMS COMPANY, SHERWIN WILLIAMS CO 3288",140 HICKMAN RD,IA,Dallas,0.0,25,6.0,WAUKEE,50263-5016,3255.0,"Paint, Coating, and Adhesive Manufacturing",2007-10-19T00:00:00.000,
Active,Retail Sales,304509924,304509924,"CHECK, CAROLYNE",806 E PLEASANT VALLEY ST,IA,Keokuk,54.0,54,3.0,SIGOURNEY,52591-1832,,,2025-01-01T00:00:00.000,
Active,Remote Sales,200155061,200155061,"BRIGHTSPEED BROADBAND, LLC",1120 S TRYON ST STE 700,NC,,0.0,0,,CHARLOTTE,28203-6820,,,2007-06-01T00:00:00.000,
Active,Retail Sales,304601614,304601614,"TONY BYERS SALES AND SERVICE / BYERS ENTERPRISES LLC; BYERS, TONY O",1707 MOWREY AVE,IA,Wapello,90.0,90,1.0,OTTUMWA,52501-3841,4238.0,"Machinery, Equipment, and Supplies Merchant Wholesalers",2022-04-19T00:00:00.000,
Active,Retail Sales,106009356,,TANQ INVESTMENTS LLC,2492 55TH ST,IA,Benton,6.0,6,2.0,VINTON,52349-9568,812310.0,Coin-Operated Laundries and Drycleaners,2019-06-01T00:00:00.000,
Active,Retail Sales,177132941,,MERIS CLEANING SERVICE LLC,217 SE 2ND ST,IA,Polk,77.0,77,5.0,ANKENY,50021-3102,5617.0,Services to Buildings and Dwellings,2021-03-01T00:00:00.000,
Active,Retail Sales,305405220,305405120,"TRAN, ANNABEL; FOREVER NAILS",4231 FLEUR DR,IA,Polk,77.0,77,1.0,DES MOINES,50321-2325,812113.0,Nail Salons,2025-01-02T00:00:00.000,
Active,Retail Sales,300400037,300400037,TITANS PRO-CUT LAWN SERVICES,1130 N GAINES ST,IA,Scott,82.0,82,1.0,DAVENPORT,52804-3933,561730.0,Landscaping Services,2026-03-28T00:00:00.000,
Active,Retail Sales,S00327053,S00327053,SPIKE TRADERS LLC,30 N GOULD ST STE 26062,WY,,0.0,0,,SHERIDAN,82801-6317,441227.0,"Motorcycle, ATV, and All Other Motor Vehicle Dealers",2023-03-17T00:00:00.000,
Inactive,Retail Sales,305201219,305201219,SCHULTZ TECH SERVICE LLC,750 SICKLE ST,WI,,0.0,0,,PLATTEVILLE,53818-1770,541990.0,"All Other Professional, Scientific, and Technical Services",2022-06-13T00:00:00.000,2025-08-01T00:00:00.000
Active,Retail Sales,304006625,304006525,"HAYNES, GABRIELLE L; COLORLEE LLC",12514 FULTON ST,IA,Warren,91.0,91,1.0,INDIANOLA,50125-8923,,,2024-08-26T00:00:00.000,
Active,Retail Sales,302408627,302408627,"COYLE, DEBORAH J",923 N 9TH ST,IA,Des Moines,29.0,29,1.0,BURLINGTON,52601-4936,327110.0,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",2024-06-01T00:00:00.000,
Active,Remote Sales,200173578,200173578,"SCHUMM, KLAYTON LEE",4495 HIGHWAY 25 SE,MN,,0.0,0,,BUFFALO,55313-8002,,,2016-10-30T00:00:00.000,
Active,Retail Sales,S00323116,S00323116,A M LEONARD INC,241 FOX DR,OH,,0.0,0,,PIQUA,45356-9265,423990.0,Other Miscellaneous Durable Goods Merchant Wholesalers,2023-02-28T00:00:00.000,
Active,Retail Sales,123018001,,CLINTON CO CONSERVATION FOUNDTN,2308 255TH ST,IA,Clinton,23.0,23,5.0,GRAND MOUND,52751-9669,7139.0,Other Amusement and Recreation Industries,2014-11-01T00:00:00.000,
Active,Retail Sales,113006325,,"HEPP, DENNA; DH DESIGNS",320 MOULTON AVE,IA,Calhoun,13.0,13,6.0,FARNHAMVILLE,50538-6729,4532.0,"Office Supplies, Stationery, and Gift Stores",2019-06-24T00:00:00.000,
Inactive,Retail Sales,120003512,,CASTLE BUILDERS LLC,1544 TRURO PAVEMENT APT C,IA,Clarke,20.0,20,1.0,OSCEOLA,50213-8388,237210.0,Land Subdivision,2005-06-15T00:00:00.000,2021-09-01T00:00:00.000
Active,Retail Sales,139005302,,"LAKE, MARLENE F; CABBAGE ROSE",313 STATE ST,IA,Guthrie,39.0,39,1.0,GUTHRIE CENTER,50115-1351,4481.0,Clothing Stores,1993-01-01T00:00:00.000,
Active,Retail Sales,129014783,,"FIDLER, JASON L; TREE GUY",2113 DILL ST,IA,Des Moines,29.0,29,1.0,BURLINGTON,52601-3153,,,2015-07-01T00:00:00.000,
Inactive,Remote Sales,200185239,200185239,"ANOVA APPLIED ELECTRONICS INC, ANOVA CULINARY",667 HOWARD ST,CA,,0.0,0,,SAN FRANCISCO,94105-3915,4543.0,Direct Selling Establishments,2021-07-01T00:00:00.000,2025-12-31T00:00:00.000
Active,Retail Sales,100012067,,360 ENERGY SOLUTIONS INC,7329 NIEMI CIR,MN,,77.0,0,,LAKE SHORE,56468-6883,4236.0,Household Appliances and Electrical and Electronic Goods Merchant Wholesalers,2020-10-01T00:00:00.000,
Inactive,Retail Sales,193003541,7388,"DOLGENCORP LLC, DOLGENCORP, LLC, DOLLAR GENERAL STORE 7787",106 S FRANKLIN ST,IA,Wayne,0.0,93,1.0,CORYDON,50060-1518,455211.0,Warehouse Clubs and Supercenters,2000-10-26T00:00:00.000,2022-10-24T00:00:00.000
Inactive,Retail Sales,190016939,,GREATER OTTUMWA PARTNERS IN PR,217 E MAIN ST,IA,Wapello,90.0,90,1.0,OTTUMWA,52501-2917,813410.0,Civic and Social Organizations,2020-01-01T00:00:00.000,2020-01-02T00:00:00.000
Inactive,Retail Sales,S00261883,S00261883,SAFARI NOW CONSULTING LLC,3110 WINNEBAGO ST,NV,,0.0,0,,SANDY VALLEY,89019-1810,441227.0,"Motorcycle, ATV, and All Other Motor Vehicle Dealers",2022-03-08T00:00:00.000,2022-03-08T00:00:00.000
Active,Retail Sales,301703129,301703129,"INGALLS, JACOB",1801 360TH ST,IA,Kossuth,55.0,55,6.0,TITONKA,50480-7087,238210.0,Electrical Contractors and Other Wiring Installation Contractors,2024-01-01T00:00:00.000,
Inactive,Retail Sales,133006339,,D & D PLUMBING HTG & ELEC,225 S MAIN ST,IA,Fayette,33.0,33,2.0,FAYETTE,52142-7621,238220.0,"Plumbing, Heating, and Air-Conditioning Contractors",1982-09-07T00:00:00.000,2020-06-30T00:00:00.000
Inactive,Retail Sales,177110616,9824,BANK OF THE WEST,4910 SE 14TH ST,IA,Polk,0.0,77,1.0,DES MOINES,50320-1604,522110.0,Commercial Banking,2007-07-01T00:00:00.000,2023-09-30T00:00:00.000
Active,Retail Sales,302606026,302605926,"CLARK INTERNATIONAL, INC",5712 S 85TH CIR,NE,,0.0,0,,OMAHA,68127-4132,561612.0,Security Guards and Patrol Services,2024-01-01T00:00:00.000,
Active,Retail Sales,178025865,,"TFL INC, MEGA SAVER",3540 W BROADWAY,IA,Pottawattamie,78.0,78,1.0,COUNCIL BLUFFS,51501-3212,445131.0,Convenience Retailers,2015-06-01T00:00:00.000,
Inactive,Retail Sales,685514144,,"RUDDY, JENNIFER S; RUDDY,JENNIFER S",2622 MELROSE AVE,IA,Story,85.0,85,1.0,AMES,50010-4631,,,2008-09-24T00:00:00.000,2021-11-11T00:00:00.000
Active,Retail Sales,177113263,,WOODHARBOR OF DES MOINES LLC,10627 AURORA AVE,IA,Polk,77.0,77,3.0,URBANDALE,50322-7927,444180.0,Other Building Material Dealers,2009-04-01T00:00:00.000,
Inactive,Consumer Use,994000979,994000979,"UROLOGY ASSOCIATES PC, PHYSICIANS OFFICE",22831 OLD HIGHWAY 169,IA,Webster,94.0,94,1.0,FORT DODGE,50501-8486,62111.0,Offices of Physicians,2011-01-01T00:00:00.000,2019-12-31T00:00:00.000
Active,Retail Sales,178026474,,RWD CARPET SPECIALISTS LLC,4022 WAKEMAN DR,IA,Pottawattamie,78.0,78,1.0,COUNCIL BLUFFS,51501-0000,561740.0,Carpet and Upholstery Cleaning Services,2018-04-26T00:00:00.000,
Inactive,Retail Sales,685506359,,"MORGAN, TIFFANY L; MORGAN,TIFFANY L",204 OAK APT 101,IA,Story,85.0,85,12.0,HUXLEY,50124-0000,,,2002-03-22T00:00:00.000,2021-11-11T00:00:00.000
Active,Retail Sales,152020821,,"SHIFFLETT, ROBYN L; BLADES",1812 HIGHLAND CT STE 1,IA,Johnson,52.0,52,1.0,IOWA CITY,52240-0000,8121.0,Personal Care Services,2006-06-01T00:00:00.000,
Active,Retail Sales,178025417,,"HODGES, NICOLE M; HODGES,NICOLE M",45402 HIGHWAY 92,IA,Pottawattamie,78.0,78,5.0,CARSON,51525-4317,8121.0,Personal Care Services,2013-04-01T00:00:00.000,
